,Elevation,Horizontal_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Forest_Cover,Soil_Type,Wilderness_Area
0,3351.0,726.0,3813.0,192.0,252.0,222.0,2271.0,Spruce/Fir,30,Rawah
1,2732.0,212.0,1082.0,231.0,236.0,137.0,912.0,Lodgepole Pine,32,Comanche Peak
2,2572.0,201.0,957.0,216.0,222.0,219.0,2191.0,Lodgepole Pine,11,Comanche Peak
3,2824.0,417.0,3223.0,214.0,214.0,214.0,6478.0,Lodgepole Pine,12,Rawah
4,2529.0,120.0,1092.0,185.0,231.0,139.0,4983.0,Lodgepole Pine,18,Rawah
5,2050.0,366.0097813578826,192.0,75.0,201.0,246.0,255.0,Ponderosa Pine,10,Cache la Poudre
6,3004.0,960.0,5814.0,211.0,244.0,227.5,2861.496788722996,Lodgepole Pine,20,Rawah
7,3232.0,406.43383276945383,1342.0,175.5,229.0,122.0,2270.0,Spruce/Fir,38,Rawah
8,3141.0,503.0,3414.4758082333014,228.0,241.0,147.0,1354.0,Lodgepole Pine,12,Rawah
9,2997.47191,30.0,630.0,183.0,225.0,141.0,300.0,Lodgepole Pine,30,Rawah
10,2860.0,228.0,3961.0,0.0,241.0,54.5,5433.0,Lodgepole Pine,12,Rawah
11,3176.0,67.0,3617.5606469002696,242.0,234.0,115.0,3172.0,Spruce/Fir,22,Comanche Peak
12,2712.0,30.0,20985.0,195.0,239.0,217.0,713.0,Aspen,32,Comanche Peak
13,2918.0,67.0,2832.0,255.0,219.0,255.0,2861.496788722996,Lodgepole Pine,31,Comanche Peak
14,2908.0,127.0,1932.0,192.0,218.0,166.0,2861.496788722996,Lodgepole Pine,32,Comanche Peak
15,2997.47191,150.0,5622.0,210.0,209.0,133.0,2724.968201754386,Spruce/Fir,22,Rawah
16,2997.47191,390.0,4736.0,187.0,240.0,134.0,17774.0,Lodgepole Pine,23,Rawah
17,2781.0,256.0,1731.0,0.0,0.0,0.0,1087.0,Aspen,11,Comanche Peak
18,2502.0,309.0,234.0,170.0,222.0,191.0,17774.0,Ponderosa Pine,10,Cache la Poudre
19,2602.0,272.0,3414.4758082333014,203.0,206.0,204.5,524.0,Lodgepole Pine,23,Comanche Peak
20,3171.0,175.0,3108.0,164.5,226.0,103.0,3648.0,Spruce/Fir,23,Rawah
21,2968.239846,134.0,2341.0,182.0,253.0,194.0,2014.0,Lodgepole Pine,13,Comanche Peak
22,2738.0,42.0,2451.0,245.0,228.0,105.0,6576.0,Lodgepole Pine,12,Rawah
23,3011.0,42.0,3242.0,145.0,145.0,145.0,1159.0,Spruce/Fir,22,Comanche Peak
24,2508.0,170.0,725.0,164.0,0.0,68.5,497.0,Douglas-fir,10,Comanche Peak
25,3213.0,641.0,3122.0,217.0,165.0,113.0,2724.968201754386,Spruce/Fir,31,Comanche Peak
26,2937.0,406.43383276945383,745.0,231.0,0.0,255.0,2012.0,Spruce/Fir,24,Comanche Peak
27,3019.0,108.0,2131.0,193.0,233.0,213.0,779.0,Lodgepole Pine,27,Comanche Peak
28,3238.0,330.0,1772.0,246.0,255.0,96.0,17774.0,Spruce/Fir,39,Rawah
29,3067.0,0.0,6673.0,218.0,218.0,218.0,2936.0,Lodgepole Pine,30,Rawah
30,3206.0,406.43383276945383,685.0,234.0,222.0,119.0,2527.0,Spruce/Fir,22,Rawah
31,2997.0,424.0,1092.0,194.0,254.0,186.0,417.0,Lodgepole Pine,24,Comanche Peak
32,2569.0,192.0,366.0,249.0,208.0,228.5,2308.0,Lodgepole Pine,40,Rawah
33,2317.79373,153.0,201.0,232.0,156.0,29.0,552.0,Ponderosa Pine,10,Cache la Poudre
34,-730.0,218.0,4176.0,119.0,119.0,119.0,2465.0,Spruce/Fir,16,Rawah
35,2968.239846,339.0,25383.0,200.5,233.0,168.0,1113.0,Lodgepole Pine,32,Comanche Peak
36,2822.0,108.0,1871.0,213.0,223.0,146.0,2861.496788722996,Lodgepole Pine,12,Rawah
37,3064.0,170.0,6756.0,228.0,218.0,123.0,3097.0,Lodgepole Pine,29,Rawah
38,2997.47191,120.0,3414.4758082333014,237.0,214.0,105.0,4241.0,Lodgepole Pine,29,Rawah
39,3139.0,361.0,5664.0,168.0,214.0,122.0,900.0,Spruce/Fir,29,Rawah
40,2923.0,60.0,1838.0,230.0,194.0,88.0,2318.0,Lodgepole Pine,32,Comanche Peak
41,3357.0,459.0,20985.0,229.0,229.0,229.0,1599.0,Spruce/Fir,39,Rawah
42,3217.0,30.0,3426.0,187.0,221.0,153.0,2391.0,Spruce/Fir,31,Comanche Peak
43,3072.0,577.0,1663.0,182.0,254.0,200.0,474.0,Lodgepole Pine,13,Comanche Peak
44,2968.239846,216.0,3301.0,223.0,245.0,234.0,2861.496788722996,Lodgepole Pine,21,Comanche Peak
45,3017.0,60.0,3617.5606469002696,211.0,221.0,146.0,2724.968201754386,Spruce/Fir,23,Rawah
46,2775.0,277.0,1123.0,200.0,176.0,188.0,997.0,Lodgepole Pine,33,Comanche Peak
47,2945.0,0.0,5758.0,221.0,183.5,146.0,3602.0,Lodgepole Pine,29,Rawah
48,3422.0,408.0,977.0,255.0,199.0,255.0,3052.0965842167257,Krummholz,19,Neota
49,2692.0,589.0,981.0,220.0,233.0,150.0,1415.0,Lodgepole Pine,12,Rawah
50,3171.0,406.43383276945383,3236.0,186.0,219.0,153.0,2724.968201754386,Spruce/Fir,31,Comanche Peak
51,2843.0,120.0,150.0,91.0,91.0,91.0,1179.0,Lodgepole Pine,29,Rawah
52,2605.0,85.0,1978.0,219.0,212.0,215.5,1896.7532467532467,Douglas-fir,2,Comanche Peak
53,3015.0,120.0,2845.0,198.0,220.0,160.0,1650.0,Lodgepole Pine,32,Comanche Peak
55,3020.0,330.0,3314.0,149.0,164.5,180.0,1401.0,Spruce/Fir,39,Comanche Peak
56,3408.0,845.0,1410.0,193.0,224.0,170.0,1648.0,Krummholz,28,Comanche Peak
57,2607.0,182.0,947.0,200.0,208.0,143.0,612.0,Lodgepole Pine,29,Rawah
58,2933.0,42.0,3740.0,243.0,223.0,233.0,2861.496788722996,Lodgepole Pine,12,Rawah
59,2968.239846,150.0,1891.0,123.0,237.0,239.0,1153.0,Lodgepole Pine,13,Comanche Peak
60,2968.239846,404.0,283.0,239.0,227.0,233.0,1434.0,Lodgepole Pine,23,Comanche Peak
61,3060.0,382.0,2355.0,169.0,169.0,169.0,2010.0,Spruce/Fir,13,Comanche Peak
62,3177.0,424.0,3158.0,188.0,215.0,161.0,2724.968201754386,Spruce/Fir,31,Comanche Peak
63,2963.0,405.8667892607576,2903.0,193.0,234.0,181.0,1515.0,Lodgepole Pine,31,Comanche Peak
64,2547.0,405.8667892607576,780.0,239.0,237.0,122.0,212.0,Lodgepole Pine,23,Rawah
65,2999.0,0.0,2881.0,188.5,228.0,149.0,1594.0,Lodgepole Pine,29,Rawah
66,2812.0,553.0,2620.0,251.0,206.0,72.0,1959.0,Ponderosa Pine,10,Comanche Peak
67,3037.0,405.8667892607576,6045.0,192.0,252.0,195.0,1698.0,Lodgepole Pine,29,Rawah
68,2963.0,90.0,3414.4758082333014,233.0,184.5,136.0,2118.0,Lodgepole Pine,22,Rawah
69,3341.0,510.0,1032.0,187.0,202.0,149.0,646.0,Spruce/Fir,29,Rawah
70,2865.0,977.0,2402.0,243.0,243.0,243.0,1501.0,Aspen,34,Comanche Peak
71,3238.0,330.0,3302.0,236.0,206.0,96.0,2139.0,Spruce/Fir,23,Comanche Peak
72,3322.0,1062.0,3714.0,230.0,240.0,220.0,2420.0,Lodgepole Pine,27,Comanche Peak
73,2518.0,255.0,1052.0,218.0,197.0,108.0,1072.0,Ponderosa Pine,4,Comanche Peak
74,2955.0,0.0,1126.0,210.0,182.0,154.0,2206.0,Spruce/Fir,32,Comanche Peak
75,2468.0,0.0,860.0,198.0,253.0,189.0,830.0,Ponderosa Pine,4,Comanche Peak
76,2721.0,30.0,1481.0,192.0,244.0,140.0,2200.0,Lodgepole Pine,38,Rawah
77,2997.47191,120.0,4264.0,199.0,224.0,163.0,1207.0,Spruce/Fir,29,Rawah
78,3136.0,30.0,3617.5606469002696,235.0,231.0,128.0,2724.968201754386,Spruce/Fir,31,Comanche Peak
79,2706.0,150.0,1746.0,245.0,227.0,236.0,2381.0,Lodgepole Pine,10,Comanche Peak
80,2997.47191,170.0,1374.0,215.0,226.0,148.0,2861.496788722996,Lodgepole Pine,23,Rawah
82,2968.239846,234.0,2764.0,245.0,245.0,245.0,2861.496788722996,Lodgepole Pine,2,Comanche Peak
83,3293.0,1048.0,3459.0,161.0,0.0,220.0,2636.0,Lodgepole Pine,27,Comanche Peak
84,3112.0,391.0,2402.0,206.0,247.0,179.0,1216.0,Lodgepole Pine,31,Comanche Peak
85,3108.0,180.0,3482.0,219.0,226.0,222.5,1073.0,Spruce/Fir,29,Rawah
86,3108.0,60.0,3791.0,236.0,239.0,130.0,3035.0,Spruce/Fir,22,Comanche Peak
87,2552.0,95.0,1513.0,250.0,167.5,85.0,1792.7121820615796,Ponderosa Pine,31,Comanche Peak
88,2853.0,124.0,134.0,237.0,168.0,41.0,1328.0,Spruce/Fir,29,Rawah
89,2844.0,124.0,3414.4758082333014,218.0,213.0,129.0,474.0,Lodgepole Pine,31,Comanche Peak
90,3014.0,30.0,3266.0,195.0,247.0,190.0,1071.0,Spruce/Fir,23,Comanche Peak
91,2895.0,240.0,277.0,243.0,203.0,82.0,872.0,Spruce/Fir,20,Rawah
92,2991.0,443.0,883.0,81.5,163.0,0.0,1622.0,Lodgepole Pine,29,Rawah
93,3259.0,524.0,743.0,242.0,225.0,110.0,17774.0,Spruce/Fir,40,Neota
94,2060.0,212.0,256.0,255.0,163.0,255.0,1792.7121820615796,Ponderosa Pine,1,Cache la Poudre
95,2375.0,234.0,1423.0,209.0,209.0,209.0,516.0,Ponderosa Pine,6,Cache la Poudre
96,-730.0,2652.0,6241.0,255.0,249.0,201.0,1806.0,Lodgepole Pine,29,Rawah
97,2880.0,60.0,25383.0,245.0,218.0,231.5,2047.0,Lodgepole Pine,29,Rawah
98,3199.0,384.0,5796.0,234.0,217.0,225.5,1800.0,Spruce/Fir,29,Rawah
99,3098.0,335.0,984.0,120.0,120.0,120.0,1465.0,Spruce/Fir,32,Comanche Peak
100,2483.0,228.0,525.0,181.0,198.0,151.0,14188.0,Douglas-fir,10,Cache la Poudre
101,2439.0,90.0,484.0,228.0,228.0,228.0,1401.0,Douglas-fir,6,Cache la Poudre
102,2808.0,60.0,2624.0,227.0,205.0,107.0,2734.0,Lodgepole Pine,20,Rawah
103,3036.0,384.0,3161.0,217.0,237.0,158.0,600.0,Lodgepole Pine,32,Comanche Peak
104,3188.0,406.43383276945383,4026.0,213.0,240.0,186.0,4060.0,Spruce/Fir,29,Rawah
105,2920.0,90.0,1243.0,223.0,249.0,153.0,745.0,Lodgepole Pine,33,Comanche Peak
106,2874.0,295.0,1922.0,245.0,228.0,236.5,2169.481012658228,Aspen,32,Comanche Peak
107,2049.0,0.0,480.0,247.0,247.0,247.0,552.0,Cottonwood/Willow,14,Cache la Poudre
108,2267.0,150.0,1198.0,168.0,205.0,174.0,1896.7532467532467,Douglas-fir,10,Cache la Poudre
109,3237.0,458.0,3066.0,173.0,179.0,134.0,787.0,Spruce/Fir,3,Comanche Peak
110,3081.0,108.0,342.0,237.0,237.0,128.0,780.0,Lodgepole Pine,31,Comanche Peak
111,3192.0,30.0,1964.0,189.0,236.0,142.0,14188.0,Spruce/Fir,33,Comanche Peak
112,3003.0,162.0,4311.0,201.0,217.0,154.0,2861.496788722996,Lodgepole Pine,30,Rawah
113,3284.0,192.0,3617.5606469002696,255.0,251.0,171.0,1008.0,Spruce/Fir,12,Rawah
114,3100.0,365.0,1045.0,243.0,211.0,92.0,927.0,Spruce/Fir,29,Rawah
115,3139.0,406.43383276945383,3756.0,177.0,187.0,197.0,1463.0,Spruce/Fir,32,Comanche Peak
116,2398.0,85.0,1230.0,211.0,213.0,137.0,994.0,Ponderosa Pine,6,Cache la Poudre
117,3173.0,60.0,955.0,242.0,169.0,96.0,2219.0,Spruce/Fir,23,Neota
118,2968.239846,108.0,2164.0,255.0,253.0,255.0,702.0,Lodgepole Pine,32,Comanche Peak
