reportingEntity,facilityName,type,State,electricityProductionGJ,electricityProductionMWh,totalScope1EmissionstCO2e,totalEmissionstCO2e,emissionIntensitytCO2eMWh,gridConnected,grid,primaryFuel,YearStart,YearEnd,YearLabel
ACCIONA ENERGY OCEANIA PTY LTD,Gunning Wind Farm,F,NSW,567719.0,2043788.4000000001,19.0,312,9.296461414498683e-06,On,NEM,Wind,2014,2015,2014-15
ACCIONA ENERGY OCEANIA PTY LTD,Waubra Wind Farm,F,VIC,2461803.0,8862490.8,77.0,1221,8.688302390113623e-06,On,NEM,Wind,2014,2015,2014-15
AGL ENERGY LIMITED,Banimboola Hydro,F,VIC,137094.0,493538.4,5.0,22,1.0130923956474308e-05,On,NEM,Hydro,2014,2015,2014-15
AGL ENERGY LIMITED,Bogong Power Station,F,VIC,266917.0,960901.2000000001,83.0,922,8.637724669300027e-05,On,NEM,Hydro,2014,2015,2014-15
AGL ENERGY LIMITED,Burrendong Hydro,F,NSW,27428.0,98740.8,1.0,98,1.0127525804935751e-05,On,NEM,Hydro,2014,2015,2014-15
AGL ENERGY LIMITED,Clover Hydro,F,VIC,151368.0,544924.8,3.0,54,5.505346792805172e-06,On,NEM,Hydro,2014,2015,2014-15
AGL ENERGY LIMITED,Coopers Cogeneration,F,SA,91666.0,329997.60000000003,19260.0,19346,0.76,On,NEM,Gas,2014,2015,2014-15
AGL ENERGY LIMITED,Copeton Hydro,F,NSW,139785.0,503226.0,1.0,76,1.987178722879978e-06,On,NEM,Hydro,2014,2015,2014-15
AGL ENERGY LIMITED,Eildon Hydro,F,VIC,710341.0,2557227.6,20.0,173,7.820969865959526e-06,On,NEM,Hydro,2014,2015,2014-15
AGL ENERGY LIMITED,Glenorchy Landfill Generation,F,TAS,43117.0,155221.2,745.0,746,0.06,On,NEM,Landfill Gas,2014,2015,2014-15
AGL ENERGY LIMITED,Hallett (Stage 1) Wind Farm,F,SA,1136668.0,4092004.8000000003,135.0,352,3.2991163646728855e-05,On,NEM,Wind,2014,2015,2014-15
AGL ENERGY LIMITED,Hallett (Stage 2) Wind Farm,F,SA,858516.0,3090657.6,85.0,272,2.7502237711482502e-05,On,NEM,Wind,2014,2015,2014-15
AGL ENERGY LIMITED,Hallett (Stage 4) Wind Farm,F,SA,1543714.0,5557370.4,133.0,493,2.3932182026233124e-05,On,NEM,Wind,2014,2015,2014-15
AGL ENERGY LIMITED,Hallett (Stage 5) Wind Farm,F,SA,489049.0,1760576.4000000001,75.0,250,4.259968496680973e-05,On,NEM,Wind,2014,2015,2014-15
AGL ENERGY LIMITED,Hobart Landfill Generation,F,TAS,27374.0,98546.40000000001,427.0,427,0.06,On,NEM,Landfill Gas,2014,2015,2014-15
AGL ENERGY LIMITED,Hunter Valley Gas Turbines,F,NSW,901.0,3243.6,355.0,1224,1.42,On,NEM,Gas,2014,2015,2014-15
AGL ENERGY LIMITED,Kincumber Landfill Generation,F,NSW,14613.0,52606.8,238.0,243,0.06,On,NEM,Landfill Gas,2014,2015,2014-15
AGL ENERGY LIMITED,Moranbah Power Station,F,QLD,82912.0,298483.2,12327.0,13469,0.54,On,NEM,Coal Seam Methane,2014,2015,2014-15
AGL ENERGY LIMITED,Nyngan Solar Plant,F,NSW,33769.0,121568.40000000001,9.0,68,7.403239657674197e-05,On,NEM,Solar,2014,2015,2014-15
AGL ENERGY LIMITED,Oaklands Hill Wind Farm,F,VIC,526539.0,1895540.4000000001,68.0,705,3.5873674863379325e-05,On,NEM,Wind,2014,2015,2014-15
AGL ENERGY LIMITED,Rockingham Landfill Generation,F,WA,77364.0,278510.4,1320.0,1326,0.06,On,SWIS,Landfill Gas,2014,2015,2014-15
AGL ENERGY LIMITED,Shoalhaven Landfill Generation,F,NSW,19739.0,71060.40000000001,356.0,364,0.06,On,NEM,Landfill Gas,2014,2015,2014-15
AGL ENERGY LIMITED,Somerton Power Station,F,VIC,37669.0,135608.4,8378.0,10414,0.8,On,NEM,Gas,2014,2015,2014-15
AGL ENERGY LIMITED,Suncoast Biomass Generation Plant,F,QLD,3091.0,11127.6,38.0,107,0.04,On,NEM,Macadamia Nut Shells,2014,2015,2014-15
AGL ENERGY LIMITED,Wattle Point Wind Farm,F,SA,937578.0,3375280.8000000003,49.0,278,1.4517310678270086e-05,On,NEM,Wind,2014,2015,2014-15
AGL ENERGY LIMITED,Werribee Biogas Generator,F,VIC,196824.0,708566.4,2902.0,4400,0.05,On,NEM,Biogas,2014,2015,2014-15
AGL ENERGY LIMITED,Wilpena Pound Solar Generation,F,SA,3172.0,11419.2,624.0,624,0.71,Off,Off-grid,Solar,2014,2015,2014-15
AGL ENERGY LIMITED,Woy Woy Landfill Generation,F,NSW,31209.0,112352.40000000001,469.0,471,0.05,On,NEM,Landfill Gas,2014,2015,2014-15
APT PIPELINES LIMITED,Emu Downs Wind Farm,F,WA,913852.0,3289867.2,91.0,434,2.7660690984730323e-05,On,SWIS,Wind,2014,2015,2014-15
AUSTRALIAN CAPITAL EQUITY PTY LIMITED,LGP Canning Vale Facility,F,WA,2380.0,8568.0,36.0,46,0.05,On,SWIS,Landfill Gas,2014,2015,2014-15
AUSTRALIAN CAPITAL EQUITY PTY LIMITED,LGP Red Hill Facility,F,WA,91876.0,330753.60000000003,1277.0,1278,0.05,On,SWIS,Landfill Gas,2014,2015,2014-15
AUSTRALIAN CAPITAL EQUITY PTY LIMITED,LGP Tamala Park Facility,F,WA,114770.0,413172.0,1588.0,1590,0.05,On,SWIS,Landfill Gas,2014,2015,2014-15
CANUNDA POWER PTY LTD,Canunda Wind Farm,F,SA,445274.0,1602986.4000000001,17.0,173,1.0605205384150482e-05,On,NEM,Wind,2014,2015,2014-15
CAPE BYRON MANAGEMENT PTY LTD,Broadwater Power Plant,F,NSW,643940.0,2318184.0,6032.0,7455,0.03,On,NEM,Bagasse,2014,2015,2014-15
CAPE BYRON MANAGEMENT PTY LTD,Condong Power Plant,F,NSW,375693.0,1352494.8,3007.0,4694,0.03,On,NEM,Bagasse,2014,2015,2014-15
CONTRACT POWER AUSTRALIA PTY LTD,Norseman Gold Power Station,F,WA,50926.0,183333.6,10193.0,10193,0.72,Off,Off-grid,Diesel,2014,2015,2014-15
CWF HOLDINGS PTY LTD,Collgar Wind Farm,F,WA,2566405.0,9239058.0,227.0,838,2.4569604390404303e-05,On,SWIS,Wind,2014,2015,2014-15
CWP RENEWABLES PTY LTD,Boco Rock Wind Farm Pty Ltd,F,NSW,751603.0,2705770.8000000003,55.0,775,2.0326924956097535e-05,On,NEM,Wind,2014,2015,2014-15
CWP RENEWABLES PTY LTD,Taralga Wind Farm Pty Ltd,F,NSW,265563.0,956026.8,20.0,148,2.091991563416423e-05,On,NEM,Wind,2014,2015,2014-15
DELTA ELECTRICITY,Brown Mountain Power Station,F,NSW,48431.0,174351.6,6.0,6,3.441322018266537e-05,On,NEM,Hydro,2014,2015,2014-15
ECOGEN HOLDINGS PTY LTD,Jeeralang Power Station,F,VIC,79794.0,287258.4,15640.0,22370,0.71,On,NEM,Gas,2014,2015,2014-15
ELECTRICITY GENERATION AND RETAIL CORPORATION,Albany Wind Farm,F,WA,347600.0,1251360.0,13.0,20,1.0388697097557858e-05,On,SWIS,Wind,2014,2015,2014-15
ELECTRICITY GENERATION AND RETAIL CORPORATION,Bremer Bay Wind Diesel System,FA,WA,6664.0,23990.4,220.0,223,0.12,On,SWIS,Wind/Diesel,2014,2015,2014-15
ELECTRICITY GENERATION AND RETAIL CORPORATION,Coral Bay Wind Diesel System,FA,WA,12118.0,43624.8,1813.0,1813,0.54,Off,Off-grid,Wind/Diesel,2014,2015,2014-15
ELECTRICITY GENERATION AND RETAIL CORPORATION,Geraldton Gas Turbine Station,F,WA,80.0,288.0,29.0,29,1.31,On,SWIS,Gas,2014,2015,2014-15
ELECTRICITY GENERATION AND RETAIL CORPORATION,Hopetoun Wind Diesel System,FA,WA,19713.0,70966.8,2671.0,2671,0.49,Off,Off-grid,Wind/Diesel,2014,2015,2014-15
ELECTRICITY GENERATION AND RETAIL CORPORATION,Kalgoorlie Gas Turbine Station,F,WA,6739.0,24260.4,1751.0,1751,0.94,On,SWIS,Gas,2014,2015,2014-15
ELECTRICITY NETWORKS CORPORATION,Ravensthorpe Power Station,F,WA,701.0,2523.6,138.0,138,0.71,On,SWIS,Liquid Fuel,2014,2015,2014-15
ENERGEX LIMITED,Energy Impact - Bromelton Peak Generation Plant,F,QLD,6745.0,24282.0,1402.0,1829,0.75,On,NEM,Liquid Fuel,2014,2015,2014-15
ENERGEX LIMITED,Energy Impact - Generation,F,QLD,4125.0,14850.0,799.0,799,0.7,On,NEM,Liquid Fuel,2014,2015,2014-15
ENERGY DEVELOPMENTS LIMITED,Ardyaloon Remote Power Station,F,WA,6385.0,22986.0,1275.0,1275,0.72,Off,Off-grid,Liquid Fuel,2014,2015,2014-15
ENERGY DEVELOPMENTS LIMITED,Beagle Bay Remote Power Station,F,WA,5835.0,21006.0,1151.0,1151,0.71,Off,Off-grid,Liquid Fuel,2014,2015,2014-15
ENERGY DEVELOPMENTS LIMITED,Belrose and Grange Avenue LFG Power Stations,FA,NSW,46595.0,167742.0,815.0,821,0.06,On,NEM,Landfill Gas,2014,2015,2014-15
ENERGY DEVELOPMENTS LIMITED,Berwick LFG Power Station,F,VIC,86977.0,313117.2,1539.0,2349,0.06,On,NEM,Landfill Gas,2014,2015,2014-15
ENERGY DEVELOPMENTS LIMITED,Bidyadanga Remote Power Staiton,F,WA,10466.0,37677.6,2094.0,2094,0.72,Off,Off-grid,Liquid Fuel,2014,2015,2014-15
ENERGY DEVELOPMENTS LIMITED,Broadmeadows LFG Power Station,F,VIC,69413.0,249886.80000000002,1230.0,1240,0.06,On,NEM,Landfill Gas,2014,2015,2014-15
ENERGY DEVELOPMENTS LIMITED,Brooklyn LFG Power Station,F,VIC,61195.0,220302.0,1054.0,1059,0.06,On,NEM,Landfill Gas,2014,2015,2014-15
ENERGY DEVELOPMENTS LIMITED,Browns Plains LFG Power Station,F,QLD,40383.0,145378.80000000002,712.0,716,0.06,On,NEM,Landfill Gas,2014,2015,2014-15
ENERGY DEVELOPMENTS LIMITED,Century Power Station,FA,QLD,4393.0,15814.800000000001,848.0,848,0.69,On,Mt Isa,Diesel,2014,2015,2014-15
