Code,SA4_Label,Year,population_total,population_density,population_males,population_females,median_age_males,median_age_females,median_age_persons,working_age_population,working_age_population_pct,GCCSA,State
101,Capital Region,2019,232901,4.5,117175,115726,43.2,44.6,43.9,143296,0.615,1RNSW Rest of NSW,NSW
101,Capital Region,2020,236094,4.5,118860,117234,43.5,45.1,44.3,144211,0.611,1RNSW Rest of NSW,NSW
101,Capital Region,2021,238618,4.6,120259,118359,43.8,45.3,44.6,144781,0.607,1RNSW Rest of NSW,NSW
101,Capital Region,2022,240637,4.6,121265,119372,43.8,45.4,44.6,145048,0.603,1RNSW Rest of NSW,NSW
101,Capital Region,2023,243069,4.7,122499,120596,43.6,45.3,44.4,146196,0.601,1RNSW Rest of NSW,NSW
102,Central Coast,2019,345695,205.6,168864,176831,40.0,43.3,41.7,210071,0.608,1RNSW Rest of NSW,NSW
102,Central Coast,2020,347734,206.9,169605,178129,40.5,43.7,42.1,210240,0.605,1RNSW Rest of NSW,NSW
102,Central Coast,2021,348493,207.3,169773,178720,41.0,44.2,42.7,209061,0.6,1RNSW Rest of NSW,NSW
102,Central Coast,2022,349158,207.7,169991,179167,41.2,44.2,42.7,208896,0.598,1RNSW Rest of NSW,NSW
102,Central Coast,2023,351900,209.3,171340,180594,41.1,44.2,42.7,210532,0.598,1RNSW Rest of NSW,NSW
103,Central West,2019,213243,3.0,107132,106111,38.8,40.9,39.9,129061,0.605,1RNSW Rest of NSW,NSW
103,Central West,2020,213568,3.0,107401,106167,39.4,41.4,40.4,128540,0.602,1RNSW Rest of NSW,NSW
103,Central West,2021,213545,3.0,107498,106047,40.0,41.8,40.9,127799,0.598,1RNSW Rest of NSW,NSW
103,Central West,2022,214120,3.0,107690,106430,40.1,42.0,41.1,127515,0.596,1RNSW Rest of NSW,NSW
103,Central West,2023,214827,3.1,107986,106867,40.2,42.0,41.1,128001,0.596,1RNSW Rest of NSW,NSW
104,Coffs Harbour - Grafton,2019,143460,10.8,70534,72926,44.3,46.4,45.4,84692,0.59,1RNSW Rest of NSW,NSW
104,Coffs Harbour - Grafton,2020,144454,10.9,70998,73456,44.6,46.8,45.7,84747,0.5870000000000001,1RNSW Rest of NSW,NSW
104,Coffs Harbour - Grafton,2021,146196,11.1,72309,73887,45.0,47.1,46.1,85117,0.5820000000000001,1RNSW Rest of NSW,NSW
104,Coffs Harbour - Grafton,2022,147645,11.2,73001,74644,45.2,47.1,46.2,85209,0.5770000000000001,1RNSW Rest of NSW,NSW
104,Coffs Harbour - Grafton,2023,149032,11.3,73805,75238,44.9,47.1,46.0,85641,0.575,1RNSW Rest of NSW,NSW
105,Far West and Orana,2019,117616,0.3,58782,58834,38.1,39.5,38.8,72084,0.613,1RNSW Rest of NSW,NSW
105,Far West and Orana,2020,117375,0.3,58727,58648,38.3,39.8,39.1,71600,0.61,1RNSW Rest of NSW,NSW
105,Far West and Orana,2021,117180,0.3,58701,58479,38.6,40.1,39.4,70905,0.605,1RNSW Rest of NSW,NSW
105,Far West and Orana,2022,117115,0.3,58694,58421,38.6,40.3,39.4,70320,0.6,1RNSW Rest of NSW,NSW
105,Far West and Orana,2023,117882,0.3,59097,58802,38.4,40.1,39.3,70541,0.598,1RNSW Rest of NSW,NSW
106,Hunter Valley exc Newcastle,2019,282474,13.1,141497,140977,37.7,39.5,38.6,175599,0.622,1RNSW Rest of NSW,NSW
106,Hunter Valley exc Newcastle,2020,287767,13.4,144281,143486,38.0,39.9,39.0,177955,0.618,1RNSW Rest of NSW,NSW
106,Hunter Valley exc Newcastle,2021,293070,13.6,147131,145939,38.6,40.4,39.5,180030,0.614,1RNSW Rest of NSW,NSW
106,Hunter Valley exc Newcastle,2022,299562,13.9,150385,149177,38.7,40.5,39.6,183593,0.613,1RNSW Rest of NSW,NSW
106,Hunter Valley exc Newcastle,2023,305072,14.2,153210,151905,38.6,40.5,39.6,186862,0.612,1RNSW Rest of NSW,NSW
107,Illawarra,2019,310565,201.8,153843,156722,37.3,39.9,38.6,198413,0.639,1RNSW Rest of NSW,NSW
107,Illawarra,2020,312808,203.2,154976,157832,37.8,40.3,39.0,198775,0.635,1RNSW Rest of NSW,NSW
107,Illawarra,2021,314091,204.1,155753,158338,38.4,40.8,39.6,198278,0.631,1RNSW Rest of NSW,NSW
107,Illawarra,2022,317670,206.4,157541,160129,38.3,40.8,39.5,200362,0.631,1RNSW Rest of NSW,NSW
107,Illawarra,2023,321771,209.0,159543,162264,38.1,40.6,39.3,203390,0.632,1RNSW Rest of NSW,NSW
