Project Name,State,Postcode,MW Capacity,Fuel Source,Station_Status
"Laura Johnson Home, Townview",QLD,4825.0,0.2265,Solar,Approved
Leppington,NSW,2179.0,0.732,Solar,Approved
Quakers Hillside Care Community,NSW,2763.0,0.1996,Solar,Approved
Rest Nominees,VIC,3008.0,0.1188,Solar,Approved
Retail First Mt Ommaney,QLD,4074.0,1.0004,Solar,Approved
Woolworths HCFDC Heathwood,QLD,4110.0,1.6721,Solar,Approved
Woolworths Kings Meadow 7210,TAS,7249.0,0.2926,Solar,Approved
CLAYTON CHURCH HOMES INC,SA,5113.0,0.1965,Solar,Approved
Dalwood Children's Home,NSW,2092.0,0.2465,Solar,Approved
Haighs Proprietary Limited,SA,5106.0,0.6265,Solar,Approved
Lindt & Sprungli (Australia) Pty Ltd,NSW,2765.0,1.0179,Solar,Approved
Midfield Trading Solar W SGU,SA,5010.0,0.6443,Solar,Approved
Wilandra Farms Clydebank,VIC,3851.0,0.155,Solar,Approved
Balickera WPS,NSW,2324.0,3.1158,Solar,Approved
The Creeks Pipeline Company Ltd,SA,5259.0,2.808,Solar,Approved
Lai Industries,SA,5010.0,0.5445,Solar,Approved
CLAYTON CHURCH HOMES INC,SA,5082.0,0.198,Solar,Approved
Kerang Solar Plant,VIC,3579.0,37.2874,Solar,Approved
Red Valley Farms,QLD,4871.0,0.3801,Solar,Approved
Region Group Warnbro Central,WA,6169.0,0.5736,Solar,Approved
Southern Steel,VIC,3175.0,0.2,Solar,Approved
Southern Steel,SA,5095.0,0.2498,Solar,Approved
CLAYTON CHURCH HOMES INC,SA,5072.0,0.2001,Solar,Approved
AU186 Oakdale West 5B,NSW,2178.0,0.15,Solar,Approved
Carosue,WA,6440.0,8.464,Solar,Approved
Linfox Regency Park,SA,5010.0,0.7,Solar,Approved
PWR Hybrid Cataby,WA,6507.0,9.558,Solar,Approved
Blacktown Warehouse 1,NSW,2148.0,0.2,Solar,Approved
Blacktown Warehouse 2,NSW,2148.0,0.2,Solar,Approved
HCS,QLD,4014.0,0.438,Solar,Approved
Intertek Townsville,QLD,4818.0,0.182,Solar,Approved
ISLHD,NSW,2516.0,0.281,Solar,Approved
Region Group Treendale,WA,6233.0,0.34,Solar,Approved
Woolworths DC Moorebank RDC 7950,NSW,2170.0,2.02,Solar,Approved
Bunnings Padstow,NSW,2211.0,0.28,Solar,Approved
Five Star Seafoods,SA,5291.0,0.189,Solar,Approved
Morgan Sawmill,SA,5491.0,0.199,Solar,Approved
Northpoint Shopping Centre,QLD,4350.0,0.298,Solar,Approved
Ormeau,QLD,4208.0,0.659,Solar,Approved
Symbion,NSW,2178.0,1.751,Solar,Approved
AFS Cadell Balranald,NSW,2715.0,4.827,Solar,Approved
AU544 Interlink Estate,NSW,2759.0,0.54,Solar,Approved
BAE Williamtown,NSW,2318.0,0.416,Solar,Approved
Bunnings Greenacre,NSW,2190.0,0.2,Solar,Approved
Caloundra NMI 31173199012,QLD,4551.0,0.228,Solar,Approved
HMC Capital Marsden Park,NSW,2765.0,0.24,Solar,Approved
HMC Glenmore Park Shopping Centre,NSW,2745.0,0.5,Solar,Approved
Lambert Estate Wines Pty Ltd,SA,5353.0,0.223,Solar,Approved
Martin Brower Dandenong,VIC,3175.0,0.625,Solar,Approved
Mt Annan Christian College,NSW,2567.0,0.22,Solar,Approved
Scalabrini Chipping Norton,NSW,2170.0,0.335,Solar,Approved
Woolworths Darra 2695,QLD,4076.0,0.25,Solar,Approved
Woolworths Ingham 2723,QLD,4850.0,0.275,Solar,Approved
Woolworths Seaford 5646,SA,5169.0,0.275,Solar,Approved
MNCLHD Coffs Harbour Health Campus,NSW,2450.0,1.323,Solar,Approved
Tip Top Chullora,NSW,2190.0,2.018,Solar,Approved
OZLEMFOODSWA,QLD,4207.0,0.443,Solar,Approved
Somerville Gardens Care Community,VIC,3912.0,0.24,Solar,Approved
Big W Mildura 560,VIC,3500.0,0.2,Solar,Approved
Bunnings Maitland,NSW,2320.0,0.24,Solar,Approved
Clean Peak Energy,NSW,2580.0,0.288,Solar,Approved
Covenant Christian School,NSW,2085.0,0.181,Solar,Approved
EWH Food Services Kingsgrove,NSW,2208.0,0.325,Solar,Approved
Frasers Woolworths Liquor Warehouse,QLD,4207.0,0.501,Solar,Approved
"Scalabrini ""The Village"" Drummoyne",NSW,2047.0,0.235,Solar,Approved
Woolworths Katoomba 1787,NSW,2780.0,0.275,Solar,Approved
Agile Energy,QLD,4208.0,0.2,Solar,Approved
Aussie Pride Produce,VIC,3634.0,0.148,Solar,Approved
Campari,VIC,3026.0,0.65,Solar,Approved
Chep Pallets,SA,5110.0,0.252,Solar,Approved
"Heidke St, Avoca",QLD,4670.0,0.198,Solar,Approved
HNELHD Tamworth,NSW,2340.0,1.063,Solar,Approved
ISLHD Shoalhaven Hospital,NSW,2541.0,0.5,Solar,Approved
Kingspan Insulated Panels Pty Limited,NSW,2760.0,0.16,Solar,Approved
Ornatas Tasmanian Lobster Hatchery,QLD,4816.0,0.158,Solar,Approved
Goyder South Wind Farm 1B,SA,5417.0,195.693,Wind,Approved
Agile Energy,NSW,2250.0,0.348,Solar,Approved
ATCO Gas Australia Jandakot Microgrid,WA,6164.0,0.301,Solar,Approved
Caloundra NMI 3117361486,QLD,4551.0,0.348,Solar,Approved
City of Stirling (Administration Centre) – Solar w SGU,WA,6021.0,0.47,Solar,Approved
Concord Hospital,NSW,2138.0,0.314,Solar,Approved
CQFMS,QLD,4740.0,0.307,Solar,Approved
Mirvac Switchyards Building 2,NSW,2144.0,0.2,Solar,Approved
Seaford Central,SA,5169.0,0.465,Solar,Approved
Stockland Rockhampton Shopping Centre,QLD,4701.0,2.673,Solar,Approved
The Good Shepherd Home,QLD,4814.0,0.314,Solar,Approved
Waverley Valley Care Community,VIC,3150.0,0.15,Solar,Approved
B&J Greenacre,NSW,2190.0,0.4,Solar,Approved
Bunnings Eastgardens,NSW,2036.0,0.34,Solar,Approved
CH3059 Midwest Logistics Hub (INGH1),VIC,3029.0,1.0,Solar,Approved
"Macaulay Rd, Kensington",VIC,3031.0,0.198,Solar,Approved
MF Logistics Bvd,WA,6107.0,0.781,Solar,Approved
Mirvac Switchyards Building 6,NSW,2144.0,0.2,Solar,Approved
Oxley Grove Care Community,QLD,4077.0,0.278,Solar,Approved
Stubbo,NSW,2852.0,520.393,Solar,Approved
123 Sippy Downs,QLD,4556.0,0.2,Solar,Approved
Agile Energy,QLD,4220.0,0.152,Solar,Approved
Baked Provisions Sydney,NSW,2170.0,0.2,Solar,Approved
Chadstone Freshfood,VIC,3145.0,0.733,Solar,Approved
Mcdonald College,NSW,2137.0,0.253,Solar,Approved
Moe Newborough,VIC,3825.0,0.189,Solar,Approved
Nepean Hospital,NSW,2747.0,0.52,Solar,Approved
PFI Darra,QLD,4076.0,0.246,Solar,Approved
REMONDIS,NSW,2322.0,0.551,Solar,Approved
Story Fresh Produce,QLD,4358.0,0.201,Solar,Approved
TIP TOP Carrara,QLD,4211.0,0.221,Solar,Approved
Truganina,VIC,3029.0,0.293,Solar,Approved
UPS SCS Australia,NSW,2175.0,0.4,Solar,Approved
Petstock DC Avalon,VIC,3212.0,0.4,Solar,Approved
REMONDIS,SA,5013.0,0.397,Solar,Approved
BAE Systems Edinburgh Parks,SA,5111.0,0.162,Solar,Approved
Latrobe Leisure Morwell,VIC,3840.0,0.214,Solar,Approved
Acacia Ridge,QLD,4110.0,0.444,Solar,Approved
GPE_LYKA WELLNESS,VIC,3175.0,0.499,Solar,Approved
Greenlink 7,VIC,3977.0,0.42,Solar,Approved
IBIS Care,NSW,2223.0,0.323,Solar,Approved
Agile Energy,NSW,2015.0,0.361,Solar,Approved
Cairns Colonial Club,QLD,4870.0,0.208,Solar,Approved
CALABRIA FAMILY WINES PTY LTD,NSW,2680.0,1.032,Solar,Approved
Pikes Wines Pty Ltd,SA,5453.0,0.2,Solar,Approved
Region Group Currambine,WA,6028.0,1.48,Solar,Approved
Cubbie,QLD,4486.0,3.44,Solar,Approved
DHL Skyline,NSW,2171.0,1.0,Solar,Approved
Hendys Road Numurkah,VIC,3636.0,6.162,Solar,Approved
Woolworths Golden Grove (The Stables) 5632,SA,5125.0,0.2,Solar,Approved
Gregory Hills Hotel,NSW,2557.0,0.2,Solar,Approved
Moyhall,SA,5271.0,8.203,Solar,Approved
AU371,QLD,4178.0,0.291,Solar,Approved
Kerarbury Station Almond Orchard,NSW,2706.0,6.004,Solar,Approved
Steel Building Systems,SA,5113.0,0.2,Solar,Approved
Temperzone,NSW,2148.0,0.36,Solar,Approved
Cowboys HQ,QLD,4810.0,0.264,Solar,Approved
