code,name,network_id,network_region,units,location.lat,location.lng
ADP,Adelaide Desalination,NEM,SA,"{'ADPPV1': 'Solar', 'ADPPV2': 'Solar', 'ADPPV3': 'Solar', 'ADPBA1G': 'Battery', 'ADPBA1L': 'Battery', 'ADPBA1': 'Battery'}",-35.096948,138.484061
ALDGASF,Aldoga,NEM,QLD,{'ALDGASF1': 'Solar'},-23.839544,151.0849
AMCORGR,Amcor Glass,NEM,SA,{'AMCORGR': 'distillate'},-34.882663,138.577975
ANGASTON,Angaston,NEM,SA,"{'ANGAS2': 'distillate', 'ANGAS1': 'distillate', 'ANGAST1': 'distillate'}",-34.503948,139.024296
APS,Anglesea,NEM,VIC,{'APS': 'Coal'},-38.389031,144.180589
APPIN,Appin,NEM,NSW,{'APPIN': 'Gas'},-34.210868,150.792711
ARWF,Ararat,NEM,VIC,{'ARWF1': 'Wind'},-37.263393,143.082116
AVLSF,Avonlie,NEM,NSW,{'AVLSF1': 'Solar'},-34.919115,146.60954
AWABAREF,Awaba,NEM,NSW,{'AWABAREF': 'Bioenergy'},-33.023339,151.551228
DEIBDL,Bairnsdale,NEM,VIC,"{'BDL01': 'Gas', 'BDL02': 'Gas'}",-37.842231,147.563725
BAKING,Baking Board,NEM,QLD,{'BAKING1': 'Solar'},-26.721166,150.55417
BHWF,Bald Hills,NEM,VIC,{'BALDHWF1': 'Wind'},-38.758189,145.956062
BALBESS,Ballarat,NEM,VIC,"{'BALBG1': 'Battery', 'BALBL1': 'Battery', 'BALB1': 'Battery'}",-37.567452,143.852741
BBASEHOS,Ballarat Hospital,NEM,VIC,{'BBASEHOS': 'Gas'},-37.558774,143.847247
BANGOWF,Bango,NEM,NSW,"{'BANGOWF1': 'Wind', 'BANGOWF2': 'Wind'}",-34.767208,148.921499
BAPS,Banimboola,NEM,VIC,{'BAPS': 'Hydro'},-36.534524,147.459788
BANKSPT,Bankstown Sports Club,NEM,NSW,{'BANKSPT1': 'distillate'},-33.919998,151.033742
BANNSP,Bannerton,NEM,VIC,{'BANN1': 'Solar'},-34.67263,142.750362
BARCALDN,Barcaldine,NEM,QLD,{'BARCALDN': 'Gas'},-23.552171,145.314851
BARCSF,Barcaldine,NEM,QLD,{'BARCSF1': 'Solar'},-23.547333,145.318972
BARKIPS,Barker Inlet,NEM,SA,{'BARKIPS1': 'Gas'},-34.804,138.524
BARRON,Barron Gorge,NEM,QLD,"{'BARRON-1': 'Hydro', 'BARRON-2': 'Hydro'}",-16.85077,145.647049
BASTYAN,Bastyan,NEM,TAS,{'BASTYAN': 'Hydro'},-41.736231,145.531589
BAYSW,Bayswater,NEM,NSW,"{'BW03': 'Coal', 'BW01': 'Coal', 'BW02': 'Coal', 'BW04': 'Coal'}",-32.393502,150.953963
BBDISEL1,Bell Bay,NEM,TAS,{'BBDISEL1': 'distillate'},-41.127009,146.874083
BELLBAY,Bell Bay,NEM,TAS,"{'BELLBAY2': 'Gas', 'BELLBAY1': 'Gas'}",-41.141944,146.9025
BBP31,Bell Bay Three,NEM,TAS,"{'BBTHREE1': 'Gas', 'TVPP104': 'Gas', 'BBTHREE2': 'Gas', 'BBTHREE3': 'Gas'}",-41.139324,146.905522
BRYB1WF1,Berrybank,NEM,VIC,"{'BRYB2WF2': 'Wind', 'BRYB1WF1': 'Wind'}",-37.980741,143.472217
BERWICK,Berwick,NEM,VIC,{'BERWICK': 'Bioenergy'},-37.940819,145.236257
BERYLSF,Beryl,NEM,NSW,{'BERYLSF1': 'Solar'},-32.347501,149.460738
BIALAWF,Biala,NEM,NSW,{'GULLRWF2': 'Wind'},-34.587836,149.369848
BLAYNEY,Blayney,NEM,NSW,{'BLAYNEY': 'Wind'},-33.621944,149.198333
SNOWY6,Blowering,NEM,NSW,"{'BLOWERNG': 'Hydro', 'SNOWY6': 'Hydro'}",-35.397402,148.247225
BLUEGSF,Blue Grass,NEM,QLD,{'BLUEGSF1': 'Solar'},-26.691708,150.500037
BLULAKE,Blue Lake Milling,NEM,SA,{'BLULAKE1': 'distillate'},-36.316597,140.757571
BLYTHB,Blyth,NEM,SA,"{'BLYTHB1': 'Battery', 'BLYTHB1L1': 'Battery', 'BLYTHB1G1': 'Battery'}",-33.848475,138.403204
BOCOROCK,Boco Rock,NEM,NSW,{'BOCORWF1': 'Wind'},-36.574527,149.124863
BODWF,Bodangora,NEM,NSW,{'BODWF1': 'Wind'},-32.407128,149.04133
MCKAY,Bogong / Mackay,NEM,VIC,"{'MCKAY1': 'Hydro', 'MCKAY2': 'Hydro'}",-36.805471,147.227845
BOLIVAR,Bolivar,NEM,SA,"{'BOWWBA1G': 'Battery', 'BOWWBA1': 'Battery', 'BOWWBA1L': 'Battery', 'BOWWPV1': 'Solar', 'BOLIVAR1': 'Bioenergy'}",-34.495482,138.387641
BOLIVPS,Bolivar,NEM,SA,{'BOLIVPS1': 'Gas'},-34.7772,138.5826
BOMENSF,Bomen,NEM,NSW,{'BOMENSF1': 'Solar'},-35.0486,147.4439
0BCWF,Boulder Creek,NEM,QLD,{'0BCWF1': 'Wind'},-23.669964,150.260813
BBATTERY,Bouldercombe,NEM,QLD,"{'BBATRYL1': 'Battery', 'BBATTERY1': 'Battery', 'BBATTERY': 'Battery'}",-23.563443,150.459658
BRAEMARA,Braemar,NEM,QLD,"{'BRAEMAR2': 'Gas', 'BRAEMAR1': 'Gas', 'BRAEMAR3': 'Gas'}",-27.111669,150.907647
B2PS,Braemar 2,NEM,QLD,"{'BRAEMAR7': 'Gas', 'BRAEMAR5': 'Gas', 'BRAEMAR6': 'Gas'}",-27.109873,150.907653
BRNDBES,Brendale,NEM,QLD,"{'BRNDBESL1': 'Battery', 'BRNDBESG1': 'Battery', 'BRNDBES1': 'Battery'}",-27.329333,152.974384
BROADMDW,Broadmeadows,NEM,VIC,{'BROADMDW': 'Bioenergy'},-37.685081,144.966114
0BSSF,Broadsound,NEM,QLD,"{'0BSBESS1': 'Battery', '0BSBESSL1': 'Battery', '0BSBESSG1': 'Battery', '0BSSF1': 'Solar'}",-22.810001,149.36302
BWTR1,Broadwater,NEM,NSW,{'BWTR1': 'Bioenergy'},-29.016483,153.445756
BHILLGT,Broken Hill,NEM,NSW,{'GB01': 'distillate'},-31.986313,141.42062
BROKENH,Broken Hill,NEM,NSW,{'BROKENH1': 'Solar'},-31.988905,141.391547
BHB,Broken Hill Battery,NEM,NSW,"{'BHBL1': 'Battery', 'BHBG1': 'Battery', 'BHB1': 'Battery'}",-31.9863,141.4204
BROOKLYN,Brooklyn,NEM,VIC,{'BROOKLYN': 'Bioenergy'},-37.818597,144.828492
BROWNMT,Brown Mountain,NEM,NSW,{'BROWNMT': 'Hydro'},-36.594993,149.473997
BPLANDF,Browns Plains,NEM,QLD,{'BPLANDF1': 'Bioenergy'},-27.674584,153.068499
0WELLINGTONBESS,Bulabul,NEM,NSW,"{'0BULABULB1': 'Battery', '0BULABULG1': 'Battery', '0BULABULL1': 'Battery'}",-32.530355,148.969343
BULGANA,Bulgana Green Power Hub,NEM,VIC,"{'BULBESL1': 'Battery', 'BULBESG1': 'Battery', 'BULGANA1': 'Wind', 'BULBES1': 'Battery'}",-37.039507,142.982799
0BUNDSF,Bundaberg,NEM,QLD,{'0BUNDSF': 'Solar'},-24.943515,152.020698
BNGSF1,Bungala One,NEM,SA,{'BNGSF1': 'Solar'},-32.423316,137.841798
BNGSF2,Bungala Two,NEM,SA,{'BNGSF2': 'Solar'},-32.406993,137.840933
0BUNGAMA,Bungama,NEM,SA,"{'0BUNGAMABESS': 'Battery', '0BUNGAMABESSL1': 'Battery', '0BUNGAMABESSG1': 'Battery'}",-33.191223,138.08733
BDONGHYD,Burrendong,NEM,NSW,{'BDONGHYD': 'Hydro'},-32.664647,149.108016
BURRIN,Burrinjuck,NEM,NSW,{'BURRIN': 'Hydro'},-35.003532,148.579891
BUTLERSG,Butlers Gorge,NEM,TAS,{'BUTLERSG': 'Hydro'},-42.267107,146.262127
0CALBESS1,Calala 1,NEM,NSW,"{'0CALBESS1': 'Battery', '0CALBESSL1': 'Battery', '0CALBESSG1': 'Battery'}",-31.141287,150.963101
0CALBESS2,Calala 2,NEM,NSW,"{'0CALBESS2': 'Battery', '0CALBESSL2': 'Battery', '0CALBESSG2': 'Battery'}",-31.141287,150.963101
CALL_A,Callide A,NEM,QLD,"{'CALL_A_2': 'Coal', 'CALL_A_4': 'Coal', 'CALL_A_1': 'Coal', 'CALL_A_3': 'Coal'}",-24.333169,150.626322
CALL_B,Callide B,NEM,QLD,"{'CALL_B_2': 'Coal', 'CALL_B_1': 'Coal'}",-24.333169,150.626322
CALLIDEC1,Callide C,NEM,QLD,"{'CPP_4': 'Coal', 'CPP_3': 'Coal'}",-24.347222,150.608611
CANUNDA1,Canunda,NEM,SA,{'CNUNDAWF': 'Wind'},-37.698303,140.383633
CAPBES,Capital,NEM,NSW,"{'CAPBES1': 'Battery', 'CAPBES1L': 'Battery', 'CAPBES1G': 'Battery'}",-35.339434,149.216065
CAPTL_WF,Capital,NEM,NSW,{'CAPTL_WF': 'Wind'},-35.123534,149.500249
CESF,Capital East,NEM,NSW,{'CESF1': 'Solar'},-35.180684,149.546482
LI_WY_CA,Catagunya / Liapootah / Wayatinah,NEM,TAS,"{'LI_WY_CA': 'Hydro', 'CATAGUN1': 'distillate'}",-42.376131,146.509824
CATHROCK,Cathedral Rocks,NEM,SA,{'CATHROCK': 'Wind'},-34.848741,135.592649
CTHLWF,Cattle Hill,NEM,TAS,{'CTHLWF1': 'Wind'},-42.154845,146.694693
CETHANA,Cethana,NEM,TAS,{'CETHANA': 'Hydro'},-41.479852,146.134472
CHALLWF,Challicum Hills,NEM,VIC,{'CHALLHWF': 'Wind'},-37.395466,143.10459
CHPSTWF,Chepstowe,NEM,VIC,{'CHPSTWF1': 'Wind'},-37.596503,143.499582
CHYTWF,Cherry Tree,NEM,VIC,{'CHYTWF1': 'Wind'},-37.1018,145.2656
CHILDSF,Childers,NEM,QLD,{'CHILDSF1': 'Solar'},-25.295027,152.403674
CHBESS,Chinchilla,NEM,QLD,"{'CHBESSG1': 'Battery', 'CHBESSL1': 'Battery', 'CHBESS1': 'Battery'}",-26.918551,150.745399
CBWWBA,Christies Beach,NEM,SA,"{'CBWWBA1': 'Battery', 'CBWWBA1L': 'Battery', 'CBWWPV1': 'Solar', 'CBWWBA1G': 'Battery', 'CBWWBG1': 'Bioenergy', 'CBWWDG1': 'distillate', 'CBWWDG2': 'distillate', 'CBWWPV2': 'Solar'}",-35.125958,138.47135
CLARESF,Clare,NEM,QLD,{'CLARESF1': 'Solar'},-19.83977,147.21055
CLRKCWF,Clarke Creek,NEM,QLD,"{'CLRKCWF2': 'Wind', 'CLRKCWF1': 'Wind'}",-22.850446,149.453252
CLAYTON,Clayton,NEM,VIC,{'CLAYTON': 'Bioenergy'},-37.950618,145.119681
